School type,Gender,Number of classes daily,Location of school,Remedial classes,Number of peer teachers,Library ,School level,Average KCSE Score,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,50.45,Mariwenyi,,No,
mixed,Female,9,Mariwenyi,No,13,No,Regional,28.7,Voi,,Yes,
mixed,Female,9,Mariwenyi,No,13,No,Regional,36.32,Mwatate,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,36.54,59,,59,59
mixed,Female,9,Mariwenyi,No,13,No,Regional,46.7,179,,230,229
mixed,Female,9,Mariwenyi,No,13,No,Regional,38.23,51,,,53.18788927
mixed,Female,9,Mariwenyi,No,13,No,Regional,67.83,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,37.45,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,35.67,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,42.54,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,40,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,43.1,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,37,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,35,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,43.8,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,35.22,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,39.7,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,34,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,33.85,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,40.03,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,36.11,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,38.75,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,30.43,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,34.88,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,32.26,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,41.88,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,41.9,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,44,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,46.22,,,,
mixed,Female,9,Mariwenyi,No,13,No,Regional,26.4,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,35.21,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,43.62,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,27.6,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,25.43,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,26.54,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,37.87,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,41.67,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,47.21,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,35.61,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,43.2,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,42.44,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,35.67,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,36.5,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,37.33,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,38.17,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,39,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,39.83,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,40.67,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,41.5,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,52.22,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,42.33,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,44,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,44.83,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,45.67,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,46.5,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,46.89,,,,
mixed,Male,9,Mariwenyi,No,13,No,Regional,44.91,,,,
